"Pokemon","Fast.Move","Charged.Move","DPS","TDO","DPS.3.TDO","CP","fastType","fastDmg","fastDps","chargeType","chargeDmg","chargeDps"
"1","Mega Mewtwo Y","Confusion","Psystrike",26.355,999.7,18299.9,5610,"psychic","20","12.5",NA,NA,NA
"2","Mega Mewtwo Y","Psycho Cut","Psystrike",26.207,994.1,17893.2,5610,"psychic","5","8.3",NA,NA,NA
"3","Mega Mewtwo X","Confusion","Psystrike",25.513,967.8,16073.1,5429,"psychic","20","12.5",NA,NA,NA
"4","Shadow Mewtwo","Confusion","Psystrike",25.4,662.7,10859.6,4178,"psychic","20","12.5",NA,NA,NA
"5","Mega Mewtwo X","Psycho Cut","Psystrike",25.38,962.8,15739.4,5429,"psychic","5","8.3",NA,NA,NA
"6","Shadow Mewtwo","Psycho Cut","Psystrike",25.328,660.8,10735.8,4178,"psychic","5","8.3",NA,NA,NA
"7","Mega Mewtwo Y","Confusion","Psychic",24.582,932.5,13850.6,5610,"psychic","20","12.5","psychic","90","32.1"
"8","Mega Mewtwo Y","Psycho Cut","Psychic",24.106,914.4,12809.9,5610,"psychic","5","8.3","psychic","90","32.1"
"9","Mega Mewtwo X","Confusion","Psychic",23.797,902.7,12165.1,5429,"psychic","20","12.5","psychic","90","32.1"
"10","Shadow Mewtwo","Confusion","Psychic",23.63,616.5,8134.4,4178,"psychic","20","12.5","psychic","90","32.1"
"11","Mega Lucario","Counter","Aura Sphere",23.474,636.7,8235.1,3826,"fighting","12","13.3","fighting","90","50"
"12","Mega Mewtwo X","Psycho Cut","Psychic",23.345,885.6,11267.6,5429,"psychic","5","8.3","psychic","90","32.1"
"13","Shadow Mewtwo","Psycho Cut","Psychic",23.257,606.8,7632.6,4178,"psychic","5","8.3","psychic","90","32.1"
"14","Mega Gengar","Lick","Shadow Ball",23.173,643.5,8008.2,4336,"ghost","5","10","ghost","100","33.3"
"15","Mega Gengar","Shadow Claw","Shadow Ball",23.104,641.6,7913,4336,"ghost","9","12.9","ghost","100","33.3"
