"Type","Move","Damage","DPS"
"normal","Struggle",35,15.9
"bug","Fury Cutter",3,7.5
"bug","Bug Bite",5,10
"dark","Bite",6,12
"dark","Sucker Punch",7,10
"dragon","Dragon Breath",6,12
"electric","Thunder Shock",5,8.3
"electric","Spark",6,8.6
"fighting","Low Kick",6,10
"fighting","Karate Chop",8,10
"fire","Ember",10,10
"flying","Wing Attack",8,10
"flying","Peck",10,10
"ghost","Lick",5,10
"ghost","Shadow Claw",9,12.9
"grass","Vine Whip",7,11.7
"grass","Razor Leaf",13,13
"ground","Mud Shot",5,8.3
"ice","Ice Shard",12,10
"ice","Frost Breath",10,11.1
"normal","Quick Attack",8,10
"normal","Scratch",6,12
"normal","Tackle",5,10
"normal","Pound",7,11.7
"normal","Cut",5,10
"poison","Poison Jab",10,12.5
"poison","Acid",9,11.3
"psychic","Psycho Cut",5,8.3
"rock","Rock Throw",12,13.3
"steel","Metal Claw",8,11.4
"steel","Bullet Punch",9,10
"water","Water Gun",5,10
"water","Splash",0,0
"ground","Mud-Slap",18,12.9
"psychic","Zen Headbutt",12,10.9
"psychic","Confusion",20,12.5
"poison","Poison Sting",5,8.3
"water","Bubble",12,10
"dark","Feint Attack",10,11.1
"steel","Steel Wing",11,13.8
"fire","Fire Fang",12,13.3
"fighting","Rock Smash",15,11.5
"normal","Transform",0,0
"fighting","Counter",12,13.3
"ice","Powder Snow",6,6
"electric","Charge Beam",8,7.3
"electric","Volt Switch",14,8.8
"dragon","Dragon Tail",15,13.6
"flying","Air Slash",14,11.7
"bug","Infestation",10,9.1
"bug","Struggle Bug",15,10
"ghost","Astonish",8,7.3
"ghost","Hex",10,8.3
"steel","Iron Tail",15,13.6
"fire","Fire Spin",14,12.7
"grass","Bullet Seed",8,7.3
"psychic","Extrasensory",12,10.9
"dark","Snarl",12,10.9
"normal","Hidden Power",15,10
"normal","Take Down",8,6.7
"water","Waterfall",16,13.3
"normal","Yawn",0,0
"normal","Present",5,3.8
"rock","Smack Down",16,13.3
"normal","Crush Claw",0,0
"bug","Leech Life",0,0
"fighting","Drain Punch",0,0
"water","Razor Shell",0,0
"fairy","Charm",20,13.3
"normal","Lock-On",1,3.3
"electric","Thunder Fang",12,10
"ice","Ice Fang",12,8
"normal","Horn Drill",0,0
"ground","Fissure",0,0
"flying","Gust",25,12.5
